salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
2121276.2,1342694.2,2086995.4,2608744.2,42.0,True,120.0,129.0,42.0,184.0,3,3~5年,5,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001004,年薪
1954807.2,1302006.5,1817425.1,2652223.2,0.0,False,104.0,119.0,50.0,184.0,4,5~10年,23,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001004,年薪
2595431.2,1627508.1,2347869.8,3591371.2,22.0,True,135.0,158.0,22.0,184.0,5,10年以上,47,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001004&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001004,年薪
,,,,,,,,,,1,1年以下,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002000,月薪
,,,,,,,,,,2,1~3年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002000,月薪
,,,,,,,,,,3,3~5年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002000,月薪
,,,,,,,,,,4,5~10年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002000,月薪
NaN,NaN,NaN,NaN,0.0,False,0.0,0.0,0.0,0.0,5,10年以上,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002000,月薪
,,,,,,,,,,1,1年以下,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002000,年薪
,,,,,,,,,,2,1~3年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002000,年薪
,,,,,,,,,,3,3~5年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002000,年薪
,,,,,,,,,,4,5~10年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002000,年薪
NaN,NaN,NaN,NaN,0.0,False,0.0,0.0,0.0,0.0,5,10年以上,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002000&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002000,年薪
65777.46,45000.0,60000.0,78000.0,0.0,False,60.0,65.0,306.0,8595.0,1,1年以下,956,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001001,月薪
66489.48,45000.0,58000.0,80000.0,1233.0,True,58.0,66.0,1233.0,8595.0,2,1~3年,932,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001001,月薪
70913.93,45000.0,60000.0,84750.0,1350.0,True,60.0,70.0,1350.0,8595.0,3,3~5年,781,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001001,月薪
73042.89,48000.0,60000.0,85000.0,2721.0,True,60.0,73.0,2721.0,8595.0,4,5~10年,1000,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001001,月薪
82047.836,54000.0,70000.0,100000.0,2985.0,True,70.0,82.0,2985.0,8595.0,5,10年以上,355,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001001&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001001,月薪
,,,,,,,,,,1,1年以下,10,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001006&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001006,年薪
